ID,NAME,WEIGHT,CAP,WATER STATUS,STATION,SETUP TIME,READY DATETIME
B_049,จากัวร์ 22,400,2250,SEA,ST_001,20,2024-1-21 8:40
B_050,จากัวร์ 24,400,2250,SEA,ST_001,20,2024-2-2 7:50
B_051,จากัวร์ 25,400,2250,SEA,ST_001,20,2024-2-2 7:50
B_052,จากัวร์ 26,400,2250,SEA,ST_001,20,2024-2-5 7:20
B_053,จากัวร์ 27,400,2250,SEA,ST_001,20,2024-1-30 6:00
B_054,จากัวร์ 28,400,2250,SEA,ST_001,20,2024-2-2 8:10
B_055,จากัวร์ 30,400,4750,SEA,ST_001,20,2024-2-2 7:50
B_056,จากัวร์ 31,400,2250,SEA,ST_001,20,2024-2-3 8:00
B_057,จากัวร์ 32,400,2250,SEA,ST_001,20,2024-1-19 7:20
B_058,จากัวร์ 34,400,2250,SEA,ST_001,20,2024-1-18 9:00
B_059,จากัวร์ 35,400,2250,SEA,ST_001,20,2024-1-21 8:00
B_060,จากัวร์ 36,400,2250,SEA,ST_001,20,2024-1-30 8:10
B_061,จากัวร์ 37,400,2250,SEA,ST_001,20,2024-1-18 9:00
B_062,จากัวร์ 40,400,2500,SEA,ST_001,20,2024-2-6 8:30
B_063,จากัวร์ 41,400,2500,SEA,ST_001,20,2024-1-30 6:00
B_064,จากัวร์ 42,400,2500,SEA,ST_001,20,2024-1-19 7:15
B_065,จากัวร์ 43,400,2500,SEA,ST_001,20,2024-1-20 7:50
B_066,จากัวร์ 44,400,2500,SEA,ST_001,20,2024-1-21 8:40
B_067,จากัวร์ 45,400,2500,SEA,ST_001,20,2024-1-20 9:00
B_068,จากัวร์ 46,400,2500,SEA,ST_001,20,2024-1-30 7:50
B_069,จากัวร์ 47,400,2500,SEA,ST_001,20,2024-1-17 7:30
B_070,จากัวร์ 49,400,2500,SEA,ST_001,20,2024-1-20 7:50
B_071,จากัวร์ 50,400,2500,SEA,ST_001,20,2024-2-6 8:30
B_072,จากัวร์ 52,400,2500,SEA,ST_001,20,2024-1-31 5:35
B_073,จากัวร์ 53,400,2500,SEA,ST_001,20,2024-1-21 8:40
B_074,จากัวร์ 55,400,2500,SEA,ST_001,20,2024-1-20 8:00
B_075,จากัวร์ 56,400,2500,SEA,ST_001,20,2024-1-30 6:00
B_076,จากัวร์ 58,400,2500,SEA,ST_001,20,2024-1-20 8:00
B_077,จากัวร์ 60,400,2500,SEA,ST_001,20,2024-1-19 8:50
B_078,ปอร์เช่ 01,400,3150,SEA,ST_001,20,2024-1-19 7:15
B_079,ปอร์เช่ 02,400,3150,SEA,ST_001,20,2024-2-4 9:40
B_080,ปอร์เช่ 03,400,3150,SEA,ST_001,20,2024-2-7 8:00
B_081,ปอร์เช่ 04,400,3150,SEA,ST_001,20,2024-1-20 7:50
B_082,ปอร์เช่ 05,400,3150,SEA,ST_001,20,2024-1-31 6:10
B_083,ปอร์เช่ 06,400,3150,SEA,ST_001,20,2024-1-30 6:20
B_084,ปอร์เช่ 07,400,3150,SEA,ST_001,20,2024-1-29 5:10
B_085,ปอร์เช่ 09,400,3150,SEA,ST_001,20,2024-1-20 9:00
B_086,ปอร์เช่ 10,400,3300,SEA,ST_001,20,2024-2-1 7:30
B_087,ปอร์เช่ 12,400,3300,SEA,ST_001,20,2024-1-28 5:10
B_088,ปอร์เช่ 16,400,3150,SEA,ST_001,20,2024-1-17 7:30
B_089,ปอร์เช่ 17,400,3150,SEA,ST_001,20,2024-1-20 7:50
B_090,ปอร์เช่ 18,400,3150,SEA,ST_001,20,2024-2-6 9:30
B_091,ปอร์เช่ 19,400,3150,SEA,ST_001,20,2024-1-19 7:20
B_092,ปอร์เช่ 20,400,3150,SEA,ST_001,20,2024-1-16 10:45
B_093,ปอร์เช่ 21,400,3150,SEA,ST_001,20,2024-2-3 8:40
B_094,ปอร์เช่ 23,400,3150,SEA,ST_001,20,2024-2-4 8:40
B_095,ปอร์เช่ 24,400,3150,SEA,ST_001,20,2024-1-19 8:50
B_096,ปอร์เช่ 25,400,3150,SEA,ST_001,20,2024-1-19 7:15
B_097,เอาดี้ 01,400,2750,SEA,ST_001,20,2024-2-1 9:10
B_098,เอาดี้ 02,400,2750,SEA,ST_001,20,2024-2-1 7:30
B_099,เอาดี้ 03,400,2750,SEA,ST_001,20,2024-1-21 8:40
B_100,เอาดี้ 04,400,2750,SEA,ST_001,20,2024-1-18 7:30
B_101,เอาดี้ 05,400,2750,SEA,ST_001,20,2024-1-20 9:00
B_102,เอาดี้ 07,400,2750,SEA,ST_001,20,2024-2-15 6:25
